feedback_id,user_id,date,user_type,scene,feature,feedback,issue_category,rating,session_duration,retention,is_new_user
F200455,U100076,2026-08-24,新手玩家,卡关,人格切换,上下文记得住，不用每次都从头说,功能缺失,4,551,0,0
F200451,U100729,2026-08-24,休闲玩家,日常闲聊,对局复盘,它记得我上一把玩的是什么，接得上话,回复质量,5,857,0,0
F200457,U100550,2026-08-24,新手玩家,卡关,攻略问答,回复不长不短，正好是打游戏间隙能看完的量,回复长度,4,538,1,0
F200466,U100856,2026-08-24,回归玩家,卡关,情绪陪伴,只回了两三句，很贴心,回复长度,5,618,0,0
F200125,U100213,2026-08-24,回归玩家,上分冲分,人格切换,同一个问题问两次，说话方式差别很大,回复质量,2,357,0,0
F200177,U100168,2026-08-24,回归玩家,连败,情绪陪伴,我就想吐槽一句，它给我写了八百字,回复长度,2,785,1,0
F200180,U100765,2026-08-24,休闲玩家,连败,对局复盘,用了两周没掉过线，聊天记录都在,稳定性,5,709,1,0
F200401,U100880,2026-08-24,休闲玩家,连败,人格切换,复盘讲得挺具体，知道下一把该改什么了,回复质量,5,480,1,0
F200391,U100258,2026-08-24,新手玩家,攻略查询,攻略问答,人格切换很好玩，换一个像换了个搭子,功能缺失,4,357,1,0
F200389,U100079,2026-08-24,新手玩家,开黑组队,情绪陪伴,第一次打开就有示例，不用想说什么,交互体验,5,1024,1,0
F200367,U100846,2026-08-24,竞技玩家,上分冲分,情绪陪伴,回复经常没有理解我的意思，答非所问,回复质量,2,291,0,0
F200345,U100406,2026-08-24,竞技玩家,攻略查询,情绪陪伴,用了两周没掉过线，聊天记录都在,稳定性,5,319,1,0
F200343,U100583,2026-08-24,新手玩家,上分冲分,人格切换,说了一堆正确的废话，没有一句是我当时想听的,回复质量,2,394,0,0
F200267,U100685,2026-08-24,休闲玩家,卡关,情绪陪伴,只回了两三句，很贴心,回复长度,5,188,0,0
F200310,U100667,2026-08-24,竞技玩家,上分冲分,情绪陪伴,它记得我上一把玩的是什么，接得上话,回复质量,4,187,0,0
F200025,U100147,2026-08-24,回归玩家,连败,攻略问答,高峰期等了一分多钟才出回复,响应速度,1,491,0,0
F200212,U100052,2026-08-24,回归玩家,连败,对局复盘,只回了两三句，很贴心,回复长度,5,429,0,1
F200005,U100686,2026-08-24,竞技玩家,攻略查询,攻略问答,用了两周没掉过线，聊天记录都在,稳定性,4,144,0,0
F200280,U100293,2026-08-24,回归玩家,连败,攻略问答,选损友模式吐槽得刚好，不难受也不敷衍,回复质量,5,848,1,0
F200292,U100816,2026-08-24,回归玩家,上分冲分,人格切换,不知道怎么删掉刚才说的那句话,交互体验,2,232,0,0
F200491,U100501,2026-08-25,休闲玩家,攻略查询,攻略问答,上下文记得住，不用每次都从头说,功能缺失,4,297,0,0
F200549,U100362,2026-08-25,新手玩家,开黑组队,人格切换,速度可以，不打断我和朋友语音,响应速度,5,846,1,0
F200627,U100717,2026-08-25,回归玩家,卡关,情绪陪伴,它记得我上一把玩的是什么，接得上话,回复质量,5,218,1,0
F200222,U100207,2026-08-25,新手玩家,卡关,情绪陪伴,复盘讲得挺具体，知道下一把该改什么了,回复质量,5,217,0,0
F200536,U100057,2026-08-25,回归玩家,连败,情绪陪伴,复盘讲得挺具体，知道下一把该改什么了,回复质量,5,340,1,0
